wavelength,transmission,log,
685,1.0624,-1.973711938,-2.009201531
686,0.48,-2.318758763,-2.205980454
687,0.2865,-2.542875374,-2.470364935
688,0.1986,-2.702020756,-2.650917551
689,0.1533,-2.814457845,-2.764243602
690,0.1329,-2.876475019,-2.830702497
691,0.1302,-2.885389016,-2.881390394
692,0.1333,-2.875169851,-2.955118057
693,0.1108,-2.95546024,-3.070022401
694,0.0656,-3.183096161,-3.228088107
695,0.0354,-3.450996738,-3.420183565
696,0.0211,-3.675717545,-3.61619992
697,0.0146,-3.835647144,-3.775342828
698,0.0116,-3.935542011,-3.879266725
699,0.0105,-3.978810701,-3.92685125
700,0.0107,-3.970616222,-3.922217677
701,0.0122,-3.913640169,-3.86902652
702,0.0154,-3.812479279,-3.771693205
703,0.0214,-3.669586227,-3.651281207
704,0.0322,-3.492144128,-3.565378404
705,0.0428,-3.368556231,-3.559913779
706,0.0328,-3.484126156,-3.643233763
707,0.0164,-3.785156152,-3.812253371
708,0.0082,-4.086186148,-4.043117874
709,0.0046,-4.337242168,-4.277808106
710,0.003,-4.522878745,-4.469722375
711,0.0022,-4.657577319,-4.606395361
712,0.0018,-4.744727495,-4.683196207
713,0.0017,-4.769551079,-4.706274891
714,0.0019,-4.721246399,-4.679335176
715,0.0023,-4.638272164,-4.632117339
716,0.003,-4.522878745,-4.609722587
717,0.0031,-4.508638306,-4.642684636
718,0.0022,-4.657577319,-4.746010596
719,0.0013,-4.886056648,-4.901640846
720,0.0007,-5.15490196,-5.104488934
721,0.0005,-5.301029996,-5.277549219
722,0.0003,-5.522878745,-5.44013189
723,0.0003,-5.522878745,-5.548945499
724,0.0002,-5.698970004,-5.628533501
725,0.0002,-5.698970004,-5.663751753
726,0.0002,-5.698970004,-5.698970004
727,0.0002,-5.698970004,-5.663751753
728,0.0002,-5.698970004,-5.584163751
729,0.0003,-5.522878745,-5.453521248
730,0.0005,-5.301029996,-5.237684999
731,0.0009,-5.045757491,-4.883514596
732,0.0024,-4.619788758,-4.601640702
733,0.0118,-3.928117993,-4.465392455
734,0.0077,-4.113509275,-4.433452286
735,0.0024,-4.619788758,-4.509494535
736,0.0013,-4.886056648,-4.733022434
737,0.001,-5,-4.902042042
738,0.0009,-5.045757491,-4.931994506
739,0.0011,-4.958607315,-4.832226405
740,0.0017,-4.769551079,-4.57556616
741,0.0041,-4.387216143,-4.347730325
742,0.0192,-3.716698771,-4.247195253
743,0.0124,-3.906578315,-4.237534317
744,0.0035,-4.455931956,-4.319267092
745,0.0019,-4.721246399,-4.515721338
746,0.0016,-4.795880017,-4.616192754
747,0.002,-4.698970004,-4.632526763
748,0.0039,-4.408935393,-4.732647233
749,0.0029,-4.537602002,-4.913265231
750,0.0006,-5.22184875,-5.17347123
751,0.0002,-5.698970004,-5.091684151
752,0.0001,-6,-4.984163751
753,0,-4,-4.739794001
754,0,-4,-4.4
755,0,-4,-4
756,0,-4,-4
757,0,-4,-4
758,0,-4,-4
759,0,-4,-4
760,0,-4,-4
761,0,-4,-4
762,0,-4,-4
763,0,-4,-4
764,0,-4,-4
765,0,-4,-4
766,0,-4,-4
767,0,-4,-4
768,0,-4,-4.4
769,0,-4,-4.8
770,0.0001,-6,-5.2
771,0.0001,-6,-5.2
772,0.0001,-6,-5.2
773,0,-4,-5.2
774,0,-4,-5.2
775,0.0001,-6,-5.2
776,0.0001,-6,-5.2
777,0.0001,-6,-5.2
778,0,-4,-4.8
779,0,-4,-4.4
780,0,-4,-4
781,0,-4,-4
782,0,-4,-4
783,0,-4,-4.4
784,0,-4,-4.4
785,0.0001,-6,-4.4
786,0,-4,-4.4
787,0,-4,-4.4
788,0,-4,-4
789,0,-4,-4
790,0,-4,-4
791,0,-4,-4
792,0,-4,-4
793,0,-4,-4
794,0,-4,-4
795,0,-4,-4
796,0,-4,-4
797,0,-4,-4
798,0,-4,-4
799,0,-4,-4
800,0,-4,-4
801,0,-4,-4
802,0,-4,-4
803,0,-4,-4
804,0,-4,-4
805,0,-4,-4
806,0,-4,-4
807,0,-4,-4
808,0,-4,-4.4
809,0,-4,-4.8
810,0.0001,-6,-4.8
811,0.0001,-6,-4.8
812,0,-4,-4.8
813,0,-4,-4.4
814,0,-4,-4.4
815,0,-4,-4.8
816,0.0001,-6,-5.139794001
817,0.0001,-6,-5.4
818,0.0002,-5.698970004,-5.548945499
819,0.0005,-5.301029996,-5.313727247
820,0.0018,-4.744727495,-5.158096997
821,0.0015,-4.823908741,-5.122878745
822,0.0006,-5.22184875,-5.167248495
823,0.0003,-5.522878745,-5.322878745
824,0.0003,-5.522878745,-5.462672746
825,0.0003,-5.522878745,-5.497890998
826,0.0003,-5.522878745,-5.402466747
827,0.0004,-5.397940009,-5.19418821
828,0.0009,-5.045757491,-4.588582465
829,0.0033,-4.48148606,-4.317504934
830,0.32,-2.494850022,-4.165571365
831,0.0068,-4.167491087,-4.100669146
832,0.0023,-4.638272164,-4.081815163
833,0.0019,-4.721246399,-4.151960364
834,0.0041,-4.387216143,-4.327613645
835,0.1427,-2.845576027,-4.539753213
836,0.0009,-5.045757491,-4.795503933
837,0.0002,-5.698970004,-4.718060704
838,0.0001,-6,-4.948945499
839,0,-4,-4.739794001
840,0,-4,-4.4
841,0,-4,-4
842,0,-4,-4
843,0,-4,-4
844,0,-4,-4
845,0,-4,-4
846,0,-4,-4
847,0,-4,-4
848,0,-4,-4
849,0,-4,-4
850,0,-4,-4
851,0,-4,-4
852,0,-4,-4
853,0,-4,-4
854,0,-4,-4
855,0,-4,-4
856,0,-4,-4
857,0,-4,-4
858,0,-4,-4
859,0,-4,-4
860,0,-4,-4
861,0,-4,-4
862,0,-4,-4
863,0,-4,-4
864,0,-4,-4
865,0,-4,-4
866,0,-4,-4
867,0,-4,-4
868,0,-4,-4
869,0,-4,-4
870,0,-4,-4
871,0,-4,-4
872,0,-4,-4
873,0,-4,-4
874,0,-4,-4
875,0,-4,-4
876,0,-4,-4.17721133
877,0,-4,-4.57721133
878,0.0013,-4.886056648,-4.57721133
879,0.0001,-6,-4.57721133
880,0,-4,-4.57721133
881,0,-4,-4.4
882,0,-4,-4
883,0,-4,-4
884,0,-4,-4
885,0,-4,-4
886,0,-4,-4
887,0,-4,-4
888,0,-4,-4
889,0,-4,-4
890,0,-4,-4
891,0,-4,-4
892,0,-4,-4
893,0,-4,-4
894,0,-4,-4
895,0,-4,-4
896,0,-4,-4
897,0,-4,-4
898,0,-4,-4
899,0,-4,-4
900,0,-4,-4
901,0,-4,-4
902,0,-4,-4
903,0,-4,-4
904,0,-4,-4
905,0,-4,-4
906,0,-4,-4
907,0,-4,-4
908,0,-4,-4
909,0,-4,-4
910,0,-4,-4
911,0,-4,-4
912,0,-4,-4
913,0,-4,-4
914,0,-4,-4
915,0,-4,-4.4
916,0,-4,-4.513727247
917,0.0001,-6,-4.773933246
918,0.0027,-4.568636236,-5.173933246
919,0.0005,-5.301029996,-5.173933246
920,0.0001,-6,-4.773933246
921,0,-4,-4.660205999
922,0,-4,-4.4
923,0,-4,-4
924,0,-4,-4
925,0,-4,-4
926,0,-4,-4
927,0,-4,-4
928,0,-4,-4
929,0,-4,-4
930,0,-4,-4
931,0,-4,-4
932,0,-4,-4
933,0,-4,-4
934,0,-4,-4
935,0,-4,-4
936,0,-4,-4
937,0,-4,-4
938,0,-4,-4
939,0,-4,-4
940,0,-4,-4
941,0,-4,-4
942,0,-4,-4
943,0,-4,-4
944,0,-4,-4
945,0,-4,-4
946,0,-4,-4
947,0,-4,-4
948,0,-4,-4
949,0,-4,-4.4
950,0,-4,-4.704575749
951,0.0001,-6,-4.84013189
952,0.0003,-5.522878745,-4.81152893
953,0.0021,-4.677780705,-5.020680428
954,0.0139,-3.8569852,-4.925256177
955,0.0009,-5.045757491,-4.960474429
956,0.0003,-5.522878745,-5.164712289
957,0.0002,-5.698970004,-5.593315249
958,0.0002,-5.698970004,-5.784163751
959,0.0001,-6,-5.879588002
960,0.0001,-6,-5.939794001
961,0.0001,-6,-6
